Name,Categories,Images,Brand,SKU
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0000565_-_415.png,El Abd,0a43374931f9
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0000675_-_415.png,El Abd,6ddede9085fb
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0000683_-_415.png,El Abd,1071d86c8187
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001944_-_415.webp,El Abd,442d870a84b5
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001943_-_415.webp,El Abd,36df11a863c5
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001942_-_415.webp,El Abd,e4c1412e3098
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001598_-_415.webp,El Abd,521a5e87f551
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001602_-_415.webp,El Abd,78c86613d82d
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001610_-_415.webp,El Abd,257372c3dd19
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001596_-_415.webp,El Abd,4f1213838c82
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001597_-_415.webp,El Abd,3def1986460f
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001600_-_415.webp,El Abd,f494599bfb52
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001601_-_415.webp,El Abd,cd4ccf93ae17
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001603_-_415.webp,El Abd,6df24cc6500f
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001605_-_415.webp,El Abd,11c0613eb356
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001607_-_415.webp,El Abd,e2c360841452
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001612_-_415.webp,El Abd,f45a664b45fc
,Grocery > Bakery,https://onlinestorageaccountpro.blob.core.windows.net/abdproimages-blob/0001666_-_415.webp,El Abd,0c09918a7973
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/small-chocolate-updated-3.png,Americana,2b377c467d65
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/woocommerce-placeholder.png,Americana,788ae4e438eb
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-7-1-1.png,Americana,62e9f807bc6c
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-7-2.png,Americana,eb6f53d4eb6f
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-9.png,Americana,693ba81b316a
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-1-2.png,Americana,e0d94cec4506
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-4-1-1.png,Americana,b0e879bd97cc
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-5-1-1.png,Americana,1a5dcec75a12
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2-1-1.png,Americana,d73ca9ad63ce
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-3-1-1.png,Americana,7287bd1789e8
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-12-1-1.png,Americana,df2006d4b45b
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-14-1-2.png,Americana,a92c7dfbf549
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-17.png,Americana,80fdf76e8a13
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-22-1-2.png,Americana,1bdf20ba5fdb
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-23-1-1.png,Americana,f02b5030522e
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-29-1-2.png,Americana,dc8e0ad082a9
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-36-1-2.png,Americana,1a09ae0b9f9f
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-40-1-2.png,Americana,bd8492b50af5
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-41-1-2.png,Americana,42caa567ff53
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-44-1-2.png,Americana,914f3b64bae8
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-46-1-1.png,Americana,079b2f0753b9
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-47-1-1.png,Americana,96ccb2eb01af
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Potato-Cubes.png,Americana,0ca73b6ef6c6
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Spoonful-Fries.png,Americana,4a1c64d624c5
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T143121.535-1.png,Americana,e34429285ce5
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T131252.138-1.png,Americana,7f865dc0509c
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T161837.047-1.png,Americana,ccbd9ea22478
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T164757.819-1.png,Americana,fff2b96664d2
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T164911.607-1.png,Americana,9198a2a0f219
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-05T153132.074-1-1.png,Americana,a142382ae7f0
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T175140.871-1.png,Americana,c8909979910a
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Single-Swiss-Roll-Strawberry.png,Americana,c9ef576db5f3
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/6-Pcs-Orange.png,Americana,b6143bc7bcae
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/6-Pcs-Chocolate.png,Americana,689cc63a8fbf
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/6-Pcs-Strawberry.png,Americana,35020e96ae3b
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/small-Strawberry-updated.png,Americana,7c61fc29b14e
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/small-Vanilla-updated.png,Americana,683403c9c9de
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Super-Roll-Orange.png,Americana,6234fbc87096
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Super-Roll-Strawberry.png,Americana,e647477d6f15
