Handle,Title,Vendor,Product Category,Image Src,Status
product-51,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001942_-_415.webp,active
product-52,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001598_-_415.webp,active
product-53,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001602_-_415.webp,active
product-54,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001610_-_415.webp,active
product-55,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001596_-_415.webp,active
product-56,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001597_-_415.webp,active
product-57,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001600_-_415.webp,active
product-58,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001601_-_415.webp,active
product-59,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001603_-_415.webp,active
product-60,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001605_-_415.webp,active
product-61,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001607_-_415.webp,active
product-62,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001612_-_415.webp,active
product-63,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001666_-_415.webp,active
